news_type,fav,true,important,concordant,familiar,boring,positive,negative,sensational,Party,demrep_c,social_conserv,economic_conserv,Age,Gender,Education,income,Y,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6
0,6,1,1,1,1,6,6,6,6,1.0,1,5,5,67.0,1,3.0,2,0,1,0,0,1,1,1
0,6,1,1,1,1,6,6,6,6,1.0,1,5,5,67.0,1,3.0,2,0,1,0,0,1,1,1
1,2,4,3,2,1,3,1,1,3,2.0,4,3,3,74.0,2,1.0,2,0,1,0,0,0,0,0
1,1,3,1,1,1,3,1,1,3,2.0,4,3,3,74.0,2,1.0,2,0,1,0,0,0,0,0
1,1,1,1,1,1,3,1,3,4,2.0,4,3,3,74.0,2,1.0,2,0,1,0,0,0,0,0
1,3,3,4,3,1,1,1,2,2,2.0,4,3,3,74.0,2,1.0,2,0,1,0,0,0,0,0
0,1,4,6,1,2,1,1,2,3,2.0,4,3,3,74.0,2,1.0,2,1,1,0,0,0,0,0
0,1,6,1,1,4,6,1,6,1,2.0,4,3,3,74.0,2,1.0,2,1,1,0,0,0,0,0
0,4,1,4,4,1,1,1,1,3,2.0,4,3,3,74.0,2,1.0,2,1,1,0,0,0,0,0
0,1,4,3,1,1,2,1,1,2,2.0,4,3,3,74.0,2,1.0,2,1,1,0,0,0,0,0
0,4,5,4,4,2,2,1,4,1,2.0,4,3,3,74.0,2,1.0,2,1,1,0,0,0,0,0
0,1,5,1,1,1,4,1,1,1,2.0,4,3,3,74.0,2,1.0,2,0,1,0,0,0,0,0
1,1,4,3,6,4,3,4,5,4,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
1,3,4,3,4,3,4,4,4,5,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
1,4,3,3,3,2,4,2,3,2,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
1,4,2,5,3,1,3,5,1,3,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
0,4,6,2,3,3,4,3,1,5,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
0,4,3,3,3,2,5,3,2,3,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
0,5,1,4,2,3,3,3,3,3,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
0,2,3,4,5,3,3,2,2,4,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
0,2,4,2,5,3,3,4,4,2,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
0,5,4,4,2,2,4,4,2,3,1.0,2,1,3,33.0,1,4.0,10,1,1,0,0,0,0,0
1,6,1,4,1,1,3,1,3,5,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
1,1,6,1,6,1,3,1,1,1,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
1,3,1,1,4,1,6,1,1,5,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
1,5,1,3,2,1,2,1,2,1,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
1,3,1,2,4,1,2,1,1,3,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
0,1,5,4,6,1,1,4,1,1,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
0,1,1,1,6,1,6,1,1,6,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
0,1,6,1,6,1,4,1,5,1,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
0,1,4,1,6,1,4,1,1,1,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
0,1,6,6,6,1,1,4,1,1,1.0,1,3,3,54.0,1,,2,0,1,0,0,0,0,0
1,2,5,5,5,5,3,5,5,5,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
1,2,3,4,5,4,4,2,5,4,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,2,4,5,5,4,3,5,4,4,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,1,5,5,6,5,1,5,5,5,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,1,5,5,6,5,1,5,5,5,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,1,4,5,6,3,3,3,2,4,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,1,4,5,6,4,2,5,5,4,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,1,5,5,6,5,4,5,5,5,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,3,3,4,4,4,3,4,3,3,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
0,2,5,5,5,4,3,4,5,4,1.0,1,1,2,30.0,1,5.0,11,1,1,0,0,0,0,0
1,3,6,1,3,6,1,6,1,1,3.0,4,3,3,58.0,2,3.0,5,1,1,0,0,0,0,0
1,4,4,5,4,1,1,4,1,2,3.0,4,3,3,58.0,2,3.0,5,1,1,0,0,0,0,0
1,4,1,1,4,1,3,1,1,6,3.0,4,3,3,58.0,2,3.0,5,0,1,0,0,0,0,0
1,1,5,6,1,1,1,1,5,2,3.0,4,3,3,58.0,2,3.0,5,1,1,0,0,0,0,0
0,5,5,5,5,1,1,4,1,2,3.0,4,3,3,58.0,2,3.0,5,1,1,0,0,0,0,0
0,2,3,2,2,1,3,1,1,3,3.0,4,3,3,58.0,2,3.0,5,0,1,0,0,0,0,0
0,2,2,3,2,1,3,1,1,3,3.0,4,3,3,58.0,2,3.0,5,0,1,0,0,0,0,0
0,6,6,6,6,2,1,6,1,1,3.0,4,3,3,58.0,2,3.0,5,1,1,0,0,0,0,0
0,2,5,6,2,2,1,1,6,1,3.0,4,3,3,58.0,2,3.0,5,1,1,0,0,0,0,0
0,6,6,6,6,1,1,5,1,1,3.0,4,3,3,58.0,2,3.0,5,1,1,0,0,0,0,0
1,3,1,4,4,1,1,1,2,6,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
1,6,1,6,1,1,1,1,6,5,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
1,4,2,4,3,1,3,2,4,5,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
1,3,3,4,4,1,1,1,4,4,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
1,3,2,6,4,1,5,3,1,5,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
0,4,3,4,3,1,1,1,2,4,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
0,4,4,2,3,1,2,3,2,2,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
0,2,4,6,5,1,1,6,1,1,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
0,1,6,6,6,5,1,6,1,1,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
0,3,2,4,4,1,4,1,3,3,1.0,3,3,3,67.0,2,6.0,8,0,1,0,0,0,0,0
1,1,4,6,6,1,1,6,1,2,1.0,1,1,1,56.0,2,,11,1,1,0,0,0,0,0
1,5,2,6,2,1,1,1,4,5,1.0,1,1,1,56.0,2,,11,1,1,0,0,0,0,0
1,6,1,6,1,1,1,1,6,5,1.0,1,1,1,56.0,2,,11,0,1,0,0,0,0,0
1,6,1,6,1,1,2,1,6,6,1.0,1,1,1,56.0,2,,11,0,1,0,0,0,0,0
0,1,6,6,6,2,1,6,1,1,1.0,1,1,1,56.0,2,,11,0,1,0,0,0,0,0
0,6,5,5,1,1,1,1,4,2,1.0,1,1,1,56.0,2,,11,0,1,0,0,0,0,0
0,1,6,6,6,3,1,6,1,1,1.0,1,1,1,56.0,2,,11,1,1,0,0,0,0,0
0,6,5,5,1,1,1,1,3,1,1.0,1,1,1,56.0,2,,11,0,1,0,0,0,0,0
0,6,2,6,1,1,1,1,6,5,1.0,1,1,1,56.0,2,,11,0,1,0,0,0,0,0
0,1,5,6,6,1,1,2,1,3,1.0,1,1,1,56.0,2,,11,0,1,0,0,0,0,0
1,3,1,1,3,1,6,1,1,5,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
1,1,2,1,1,1,6,1,1,6,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
1,1,1,1,1,1,6,1,1,1,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
1,1,2,1,1,1,6,1,1,6,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
1,1,1,1,1,1,6,1,1,6,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
1,1,6,5,1,2,2,1,5,1,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
1,1,1,1,1,1,6,1,1,6,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
0,2,5,4,2,2,6,1,1,1,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
0,1,6,1,1,1,6,1,1,2,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
0,1,6,1,1,1,4,1,4,1,2.0,6,3,5,47.0,1,,2,0,1,0,0,0,0,0
1,6,4,5,6,1,2,5,1,4,2.0,6,3,4,37.0,1,,3,0,1,0,0,0,0,0
1,4,4,3,4,4,4,1,5,4,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
1,6,2,4,6,1,4,3,5,4,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
1,6,5,5,6,1,1,4,1,1,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
1,6,5,5,6,1,2,4,4,3,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
1,6,5,5,6,5,1,5,5,4,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
0,6,5,5,6,4,1,5,1,1,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
0,6,3,5,6,1,1,1,2,1,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
0,4,6,5,4,5,1,4,4,5,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
0,6,4,5,6,2,1,5,1,1,2.0,6,3,4,37.0,1,,3,1,1,0,0,0,0,0
1,3,5,3,4,4,5,5,2,3,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
1,4,5,4,3,2,4,4,4,4,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
1,5,4,3,2,4,4,5,4,3,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
1,4,4,5,3,5,3,1,5,4,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
1,4,4,3,3,5,5,4,5,5,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
1,3,5,4,4,3,6,6,2,3,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
0,3,3,3,4,5,4,3,4,5,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
0,5,4,5,2,4,2,4,4,6,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
0,3,4,4,4,3,4,3,4,4,1.0,3,1,3,22.0,1,4.0,8,0,0,0,0,1,0,0
0,3,4,4,4,4,5,3,6,4,1.0,3,1,3,22.0,1,4.0,8,1,0,0,0,1,0,0
1,5,1,1,2,1,3,1,1,6,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
1,3,5,6,4,1,1,1,5,3,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
1,3,1,2,4,1,1,1,1,2,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
1,3,1,4,4,1,3,1,1,2,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
1,3,3,6,4,2,1,1,1,4,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
0,6,6,6,1,5,1,1,5,1,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
0,1,5,5,6,2,1,5,1,1,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
0,6,5,5,1,2,1,1,6,1,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
0,1,5,6,6,5,1,6,1,1,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
0,2,5,6,5,2,1,6,1,1,1.0,2,1,1,64.0,1,6.0,1,0,1,0,0,0,0,0
1,1,1,3,1,1,5,1,1,6,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
1,4,1,6,4,1,5,1,1,6,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
1,4,2,4,4,1,5,1,1,4,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
1,1,2,1,1,1,6,1,1,5,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
1,1,1,3,1,1,6,1,1,6,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
1,4,4,1,4,1,6,1,1,6,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
0,2,1,2,2,1,5,1,1,3,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
0,3,5,4,3,1,4,1,1,3,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
0,6,4,4,6,2,1,5,1,4,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
0,3,2,2,3,1,6,1,1,3,2.0,4,2,4,74.0,2,5.0,7,0,1,0,0,0,0,0
1,2,1,6,5,1,1,1,1,6,3.0,3,2,2,46.0,2,5.0,6,0,0,0,0,0,0,1
1,4,1,6,3,1,1,1,1,6,3.0,3,2,2,46.0,2,5.0,6,0,0,0,0,0,0,1
1,1,1,2,6,1,1,1,1,6,3.0,3,2,2,46.0,2,5.0,6,1,0,0,0,0,0,1
1,6,3,6,1,1,1,1,2,2,3.0,3,2,2,46.0,2,5.0,6,1,0,0,0,0,0,1
1,1,1,6,6,1,1,1,1,5,3.0,3,2,2,46.0,2,5.0,6,0,0,0,0,0,0,1
1,3,1,6,4,1,1,1,1,6,3.0,3,2,2,46.0,2,5.0,6,0,0,0,0,0,0,1
0,1,5,5,6,1,1,5,1,1,3.0,3,2,2,46.0,2,5.0,6,0,0,0,0,0,0,1
0,6,6,5,1,1,3,1,1,1,3.0,3,2,2,46.0,2,5.0,6,0,0,0,0,0,0,1
0,6,5,6,1,1,1,1,1,1,3.0,3,2,2,46.0,2,5.0,6,0,0,0,0,0,0,1
0,4,5,6,3,1,1,3,1,1,3.0,3,2,2,46.0,2,5.0,6,1,0,0,0,0,0,1
1,4,2,5,3,1,2,3,3,4,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
1,4,1,4,3,1,3,1,5,6,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
1,6,1,6,1,1,1,1,6,6,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
1,5,1,6,2,1,1,1,4,6,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
1,6,1,6,1,1,1,1,6,6,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
1,1,1,6,6,1,1,1,6,6,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
0,1,6,5,6,1,1,2,2,1,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
0,2,6,4,5,3,1,3,4,1,3.0,3,2,3,71.0,2,8.0,7,1,1,0,0,0,0,0
0,3,1,4,4,1,4,1,6,5,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
0,2,6,6,5,3,1,6,4,2,3.0,3,2,3,71.0,2,8.0,7,0,1,0,0,0,0,0
1,6,1,6,1,1,5,1,1,5,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
1,4,1,3,3,1,5,1,5,6,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
1,3,1,6,4,1,1,1,5,6,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
1,1,1,6,6,1,1,1,6,6,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
1,6,1,6,1,1,6,1,6,6,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
1,6,1,6,1,1,5,1,3,6,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
0,4,3,5,3,1,1,1,5,5,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
0,3,4,5,4,1,4,1,5,1,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
0,5,1,5,2,1,1,1,5,3,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
0,4,1,6,3,1,1,1,6,6,1.0,3,3,2,83.0,2,,8,0,1,0,0,0,0,0
1,6,1,6,6,3,1,1,2,5,2.0,6,5,5,54.0,1,6.0,11,1,1,0,0,0,0,0
1,6,1,6,6,1,1,6,6,5,2.0,6,5,5,54.0,1,6.0,11,0,1,0,0,0,0,0
1,4,5,6,4,6,1,5,5,2,2.0,6,5,5,54.0,1,6.0,11,1,1,0,0,0,0,0
1,3,2,2,3,1,2,1,2,5,2.0,6,5,5,54.0,1,6.0,11,0,1,0,0,0,0,0
0,3,2,3,3,1,1,1,5,3,2.0,6,5,5,54.0,1,6.0,11,0,1,0,0,0,0,0
0,6,6,6,6,5,1,6,5,2,2.0,6,5,5,54.0,1,6.0,11,1,1,0,0,0,0,0
0,4,2,5,4,2,1,4,5,4,2.0,6,5,5,54.0,1,6.0,11,1,1,0,0,0,0,0
0,4,1,6,4,1,1,1,3,4,2.0,6,5,5,54.0,1,6.0,11,1,1,0,0,0,0,0
0,6,6,6,6,6,1,6,3,1,2.0,6,5,5,54.0,1,6.0,11,1,1,0,0,0,0,0
0,4,3,4,4,4,2,3,1,2,2.0,6,5,5,54.0,1,6.0,11,1,1,0,0,0,0,0
1,5,2,4,5,1,3,1,5,5,3.0,4,4,3,60.0,1,3.0,3,1,1,0,0,0,0,0
1,4,3,6,4,1,1,1,1,3,3.0,4,4,3,60.0,1,3.0,3,1,1,0,0,0,0,0
1,3,4,3,3,1,3,1,1,2,3.0,4,4,3,60.0,1,3.0,3,0,1,0,0,0,0,0
1,4,1,5,4,1,1,1,1,6,3.0,4,4,3,60.0,1,3.0,3,1,1,0,0,0,0,0
1,3,6,4,3,1,4,1,3,6,3.0,4,4,3,60.0,1,3.0,3,0,1,0,0,0,0,0
0,4,2,2,4,1,2,1,1,6,3.0,4,4,3,60.0,1,3.0,3,0,1,0,0,0,0,0
0,4,2,5,4,1,1,1,1,5,3.0,4,4,3,60.0,1,3.0,3,1,1,0,0,0,0,0
0,6,5,5,6,1,1,1,5,2,3.0,4,4,3,60.0,1,3.0,3,1,1,0,0,0,0,0
0,4,2,1,4,1,1,1,4,3,3.0,4,4,3,60.0,1,3.0,3,1,1,0,0,0,0,0
0,4,6,3,4,1,3,1,1,3,3.0,4,4,3,60.0,1,3.0,3,0,1,0,0,0,0,0
1,4,4,4,4,5,4,4,4,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
1,4,4,4,4,4,4,4,4,5,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
1,4,4,4,4,4,4,4,4,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
1,4,4,4,4,5,5,5,4,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
0,4,5,4,4,3,4,5,1,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
0,4,3,4,4,4,3,4,4,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
0,4,4,4,4,4,4,4,4,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
0,4,4,4,4,5,4,4,4,5,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
0,4,5,4,4,4,4,5,3,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
0,4,4,4,4,5,4,4,4,4,3.0,4,3,3,23.0,2,,2,1,1,0,0,0,0,0
1,4,1,5,4,1,1,1,6,6,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
1,3,1,2,3,1,4,1,2,6,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
1,4,1,4,4,1,4,1,4,6,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
1,6,1,5,6,1,3,1,4,6,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
1,6,1,4,6,1,1,1,6,6,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
1,4,1,4,4,1,1,1,6,6,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
1,5,2,2,5,1,5,1,2,5,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
0,5,1,6,5,1,3,1,5,6,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
0,2,4,1,2,2,5,1,1,2,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
0,2,4,5,2,2,2,2,2,1,3.0,4,3,3,59.0,2,6.0,7,0,1,0,0,0,0,0
1,3,5,4,3,1,3,1,3,2,3.0,4,3,3,64.0,1,3.0,6,1,1,0,0,0,0,0
1,5,5,5,5,1,2,2,1,2,3.0,4,3,3,64.0,1,3.0,6,1,1,0,0,0,0,0
1,4,2,4,4,1,3,2,3,2,3.0,4,3,3,64.0,1,3.0,6,0,1,0,0,0,0,0
1,2,4,4,2,1,2,1,4,4,3.0,4,3,3,64.0,1,3.0,6,0,1,0,0,0,0,0
1,4,5,4,4,1,2,1,3,2,3.0,4,3,3,64.0,1,3.0,6,1,1,0,0,0,0,0
1,3,2,4,3,1,2,1,2,3,3.0,4,3,3,64.0,1,3.0,6,0,1,0,0,0,0,0
0,3,2,5,3,2,2,3,4,4,3.0,4,3,3,64.0,1,3.0,6,1,1,0,0,0,0,0
0,4,5,5,4,1,2,2,1,2,3.0,4,3,3,64.0,1,3.0,6,1,1,0,0,0,0,0
0,5,5,5,5,2,1,3,4,2,3.0,4,3,3,64.0,1,3.0,6,1,1,0,0,0,0,0
0,3,2,4,3,1,2,1,1,3,3.0,4,3,3,64.0,1,3.0,6,1,1,0,0,0,0,0
1,3,1,1,3,1,5,1,1,3,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
1,3,3,1,3,1,3,1,1,2,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,4,1,1,4,1,4,1,1,3,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,2,4,1,2,1,1,1,1,3,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,4,1,1,4,1,4,1,1,4,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,2,4,1,2,1,4,1,1,2,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,4,1,1,4,1,4,1,1,3,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,2,4,1,2,1,1,1,1,4,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,4,4,1,4,1,4,1,1,2,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
0,3,4,1,3,1,6,1,1,2,3.0,4,3,3,63.0,1,4.0,7,0,1,0,0,0,0,0
1,2,1,4,2,1,6,1,1,5,3.0,4,4,4,64.0,1,5.0,9,0,1,0,0,0,0,0
1,3,1,4,3,1,2,1,1,6,3.0,4,4,4,64.0,1,5.0,9,1,1,0,0,0,0,0
1,2,1,4,2,1,5,1,1,6,3.0,4,4,4,64.0,1,5.0,9,0,1,0,0,0,0,0
1,4,2,5,4,1,4,1,5,5,3.0,4,4,4,64.0,1,5.0,9,0,1,0,0,0,0,0
1,4,1,4,4,1,2,1,5,6,3.0,4,4,4,64.0,1,5.0,9,1,1,0,0,0,0,0
1,1,6,6,1,5,2,1,5,2,3.0,4,4,4,64.0,1,5.0,9,1,1,0,0,0,0,0
1,4,2,4,4,1,3,1,3,5,3.0,4,4,4,64.0,1,5.0,9,1,1,0,0,0,0,0
1,3,2,3,3,1,2,1,1,1,3.0,4,4,4,64.0,1,5.0,9,1,1,0,0,0,0,0
0,1,1,4,1,2,4,1,3,5,3.0,4,4,4,64.0,1,5.0,9,1,1,0,0,0,0,0
0,1,1,2,1,1,3,1,5,6,3.0,4,4,4,64.0,1,5.0,9,0,1,0,0,0,0,0
1,6,6,6,6,4,1,6,1,1,2.0,6,5,5,64.0,1,,3,1,1,0,0,0,0,0
1,1,1,1,1,1,6,1,6,6,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
1,6,6,3,6,2,4,5,1,1,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
1,1,1,1,1,1,6,1,6,6,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
1,6,6,3,6,1,4,4,3,3,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
0,1,1,1,1,1,6,1,6,6,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
0,1,1,3,1,1,6,1,4,3,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
0,6,6,5,6,1,1,5,1,1,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
0,6,6,6,6,5,1,6,1,1,2.0,6,5,5,64.0,1,,3,1,1,0,0,0,0,0
0,6,1,1,6,1,6,4,4,3,2.0,6,5,5,64.0,1,,3,0,1,0,0,0,0,0
1,4,4,6,4,1,1,1,4,3,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
1,3,3,1,3,1,6,1,1,3,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
1,3,1,1,3,1,6,1,1,4,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
1,1,3,2,1,1,6,1,2,3,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
0,6,4,3,6,1,2,2,1,2,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
0,3,4,1,3,1,6,1,1,1,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
0,4,3,5,4,1,3,4,1,3,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
0,4,4,4,4,1,5,1,3,3,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
0,5,3,4,5,1,4,1,1,2,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
0,5,3,4,5,1,4,1,1,3,3.0,4,3,4,46.0,2,3.0,11,0,1,0,0,0,0,0
1,5,5,6,2,1,1,1,6,5,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
1,4,4,6,3,1,1,1,4,5,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
1,3,4,6,4,1,1,4,1,5,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
1,6,4,6,1,3,1,6,1,3,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
1,3,1,5,4,1,1,1,3,6,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
0,1,4,6,6,3,1,4,1,3,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
0,3,5,6,4,1,1,3,1,2,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
0,4,3,6,3,4,1,3,1,4,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
0,4,5,6,3,1,1,1,5,4,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
0,5,6,6,2,1,1,1,3,4,1.0,2,2,2,45.0,2,,1,1,1,0,0,0,0,0
